language,number_occurrences,translations_freq
aai,18,{'mamu': 18}
aak,18,"{'iŋí̵': 8, 'nɨbɨrɨ': 2, 'yéwí̵': 1, 'iŋí̵yo': 1, 'tɨŋɨnigɨnɨ': 1, 'iwáí̵pimɨ': 1, 'onɨmiápiaranɨ': 1, 'yárɨŋerɨnɨ': 1, 'emearɨŋí̵yo': 1}"
aau,18,"{'ahney': 10, 'ayaw': 7, 'sian-yay': 1}"
aaz,42,"{'koro': 11, 'koorn': 8, 'muiꞌt': 3, 'koron': 3, 'muꞌit': 2, 'nabroor': 2, 'paraꞌ': 1, 'siis': 1, 'natpenen': 1, 'neman': 1, 'kaun': 1, 'punuꞌ': 1}"
abt,18,"{'api': 10, 'yae': 4, 'mé': 1, 'de': 1, 'apit': 1}"
abx,18,"{'manuk-manok': 13, 'kamanuk-manukan': 5}"
aby,18,"{'gasira': 5, 'mowa': 2, 'ada': 1, 'gasirama': 1, 'adama': 1, 'abu': 1, 'uake': 1, 'emenu': 1, 'imusuro': 1, 'kanama': 1}"
aca,12,"{'míshiiduca': 8, 'míshiidu': 4}"
acd,18,"{'nbuii': 17, 'kɔrɔ': 1}"
ace,18,"{'cicém': 11, 'cicém-cicém': 6, 'manusia': 1}"
acf,18,"{'jibyé': 10, 'jibyé-a': 6, 'sòt': 1, 'asanblé': 1}"
ach,18,"{'winyo': 14, 'winyol': 1, 'lee': 1, 'winyi': 1, 'kwero': 1}"
acn,18,"{'nghoq': 16, 'kui': 2}"
acr,18,"{""quexiq'uic'"": 11, ""tz'iquin"": 4, 'rawaj': 1, 'caj': 1, ""quetzu'nic"": 1}"
acu,18,"{'nanamtin': 7, 'chingki': 5, 'pasungminawai': 2, 'yakiiya': 1, 'amanum': 1, 'suramsashting': 1, 'mostazan': 1}"
ade,18,{'bâsæsæra': 18}
adh,18,"{'winyin': 15, 'joucho': 1, 'kite': 1, ""jobed'iye"": 1}"
adi,18,"{'pettang': 7, 'pettange': 6, 'pettangke': 2, 'kayadun': 1, 'angusudung': 1, 'mankepe': 1}"
adj,18,"{'ɔr': 13, 'sus': 2, 'ɔ́r': 1, 'b’ɛri': 1, 'ir': 1}"
adl,18,"{'pëta': 16, 'gëchin': 2}"
ady,31,"{'бзыухэри': 6, 'ошъогу': 4, 'иліыхьэрэр': 3, 'щыцохъорэ-щыпшырэ': 2, 'тамэ': 1, 'быбырэ': 1, 'джарэущтэу': 1, 'бзыоу': 1, 'бзыу': 1, 'зэгуиупкіыгъэхэп': 1, 'укіыгъэу': 1, 'шхынэу': 1, 'къолэбзыухэр': 1, 'бзыухэмрэ': 1, 'ядзэкіоліхэми': 1, 'мафэрэ': 1, 'бзыухэми': 1}"
adz,24,"{'apu': 9, 'dzufan': 7, 'dzuf': 3, 'marantaʼan': 1, 'watsawits': 1}"
aeb,18,"{'الطّْيُورْ': 5, 'طْيُورْ': 4, 'وِطْيُورْ': 4, 'الطْيُورْ': 2, 'اطِّيرْ': 1, 'وِالحَيَوَانَاتْ': 1}"
aeu,18,"{'keivq-avq': 12, 'bhail': 6}"
aey,42,"{'fululec': 22, 'man': 4, 'doolca': 3, 'mamanig': 3, 'filfil': 1, 'wanadecca': 1, 'manca': 1, 'cuhudid': 1, 'joqaga': 1, 'fufulec': 1, 'batacnana': 1, 'nijegina': 1, 'bilegina': 1}"
afr,135,"{'voëls': 84, 'voël': 31, 'gevleuelde': 4, 'roofvoëls': 3, 'roofvoël': 3, 'daar': 1, 'vlugtende': 1, 'vlieënde': 1, 'aangevlieg': 1, 'verskillende': 1}"
agd,18,"{'kayo': 11, 'nun': 3, 'eravíkan': 1, 'farí': 1, 'tumpan': 1}"
agg,18,"{'ndu': 17, 'wafusɨfohü': 1}"
agm,18,"{'koho': 5, 'kohoaisangi': 1, 'satetɨ': 1, 'ainjɨhɨpɨpa': 1, 'akosɨha': 1, 'nusatipɨhaapɨhiyaate': 1, 'kohasɨpɨho': 1, 'gɨwunyaapɨ': 1, 'nunyataise': 1, 'asɨpɨho': 1, 'taahɨho': 1}"
agn,18,"{'lamlam': 15, 'lalayog': 2, 'poyad': 1}"
agr,18,"{'chigki': 3, 'aidaushkam': 2, 'kaketuk': 2, 'yakiya': 2, 'agkajunum': 1, 'kanawen': 1, 'amukajui': 1, 'aidautigmek': 1, 'pasugmama': 1, 'namakshakam': 1, 'wajasé': 1, 'nanamtin': 1}"
agt,18,"{'mamanuk': 17, 'nasi': 1}"
agu,18,"{""ch'u'l"": 8, ""chixicy'in"": 4, ""sicy'le'n"": 1, ""joja'tz"": 1, 'swutz': 1, 'mansar': 1, ""xa'bil"": 1, ""tcya'j"": 1}"
agw,135,"{'manu': 107, 'ahetaronga': 4, 'ataka': 3, 'hagangêra': 2, 'mênga': 1, 'rekereke': 1, 'vigu': 1, 'gapagapêsu': 1, 'sigo': 1, 'tehe': 1, 'ai': 1, 'basuira': 1, 'arara': 1}"
agx,4,"{'алишиная': 1, 'нахширарихъ': 1, 'джакьварилас': 1}"
ahk,18,{'jiˇ': 18}
aia,18,{'manu': 18}
aii,30,"{'ܛܲܝܪܹ̈ܐ': 11, 'ܘܛܲܝܪܹ̈ܐ': 6, 'ܛܲܝܪܵܐ': 3, 'ܘܛܲܝܪܵܐ': 2, 'ܠܟܠܵܗ̇': 1, 'ܠܦܵܪܲܚܬܵ\u200cܐ': 1, 'ܨܸܦܪܬܵ\u200cܐ': 1, 'ܒܛܲܝܪܹ̈ܐ': 1, 'ܘܕܗܲܝܘܵܢܹ̈ܐ': 1, 'ܕܛܲܝܪܹ̈ܐ': 1, 'ܘܣܸܢܝܹ̈ܐ': 1}"
aim,18,"{'vatengai': 4, 'vate': 4, 'vangai': 3, 'vatengain': 2, 'vahaingai': 1, 'ajot': 1, 'varna': 1}"
aji,18,"{'mür̂ü': 12, 'cêê': 4, 'mür̂ü-â': 1, 'öcuu': 1}"
ajz,18,"{'wohel': 7, 'awohel': 4, 'awo': 2, 'langot': 1, 'chodetno': 1, 'wo': 1, 'asoi': 1, 'chiplango': 1}"
akb,18,"{'unggas': 12, 'marasar': 2, 'dipapangani': 2, 'nihagigihon': 1}"
ake,18,"{""amʉ'"": 11, 'toron': 6, 'ene': 1}"
akh,18,"{'sowar': 2, 'iri': 2, 'om': 1, 'kalekle': 1, 'burukl': 1, 'birisaol': 1, 'sokloll': 1}"
ald,18,"{'annrɛn': 10, 'annrɛ́n': 8}"
alj,18,"{'bantog': 15, 'aginanapan': 2, 'makasoka': 1}"
aln,135,"{'zogjtë': 47, 'fluturuese': 13, 'zog': 12, 'zogu': 8, 'krijesat': 6, 'shpendët': 6, 'zogj': 6, 'shpendëve': 5, 'zogun': 5, 'zogjve': 5, 'krahë': 3, 'shpendë': 2, 'zogjsh': 2, 'ndonjë': 2, 'zogut': 1, 'shpend': 1, 'shpendin': 1, 'fluturojnë': 1, 'pyet': 1, 'fluturuar': 1, 'shpendi': 1}"
