concept,language,translations
fish,eng,"['fish', 'fishes']"
fish,spa,"['peces', 'pescado', 'pescados', 'pez', 'pescaditos', 'dardos', 'pescarán']"
fish,deu,"['fische', 'fisch', 'fischen', 'fischtor', 'fisches', 'fischteil', 'fischspießen', 'fischfang']"
fish,zho,"['鱼', '鱼门', '小鱼', '地底', '鱼类', '鱼叉', '声音', '大鱼', '捡', '烧鱼', '拖', '身体']"
fish,fra,"['poissons', 'poisson', 'pêcheront']"
fish,nld,"['vissen', 'vis', 'vispoort', 'visjes', 'visgedeelte', 'visserssperen', 'visvangst']"
fish,pol,"['ryby', 'ryb', 'rybę', 'rybnej', 'rybami', 'rybek', 'rybia', 'rybach', 'rybną', 'łowić', 'rybie', 'rybom']"
fish,tur,"['balık', 'balıklar', 'balıkları', 'balığı', 'balığın', 'balıklarına', 'balıklarını', 'balıktan', 'balıklardan', 'yapalım', 'balıkçı', 'çekemez', 'balıklarla', 'başkadır']"
fish,afr,"['visse', 'vis', 'vispoort', 'vissies', 'visgedeelte', 'visspiese', 'soek', 'visvangs']"
fish,cat,"['peixos', 'peix', 'peixets', 'passar', 'pesca', 'agafar']"
fish,dan,"['fisk', 'fiskene', 'fiskeporten', 'fisken', 'småfisk', 'fiskespyd', 'fiske', 'indre', 'fiskefangst', 'fiskenes']"
fish,fin,"['kalaa', 'kalat', 'kaloja', 'kalan', 'kaloista', 'kalojen', 'pikkukaloja', 'kalaporttiin', 'kalaportin', 'kalaportille', 'kala-atraimilla', 'kalojaan', 'kalastavat', 'kalaportilta', 'kala', 'kalansaaliin', 'kaloineen']"
fish,ell,"['ψάρια', 'ψαριών', 'ψάρι', 'ψαριού', 'ιχθυόμορφο', 'αλιευτικά', 'ψαρέψουν', 'ψάρι—μήπως', 'ψαριά']"
fish,hun,"['halat', 'hal', 'halai', 'halakat', 'tenger', 'nílusban', 'halnak', 'halait', 'halunk', 'halakból', 'hasonlatosságunkra', 'hala', 'halra', 'halát', 'halakról', 'halászvillával', 'halaikat', 'halaik', 'halászni', 'pikkelyeidhez', 'halacskánk', 'halacskájuk', 'ugyanis', 'hálót', 'halakkal', 'halaké']"
fish,isl,"['fiska', 'fiskana', 'fisk', 'smáfiska', 'fiskinn', 'fiskinum', 'stórhvelisins', 'fiskleifarnar', 'fiskaflans', 'fiski', 'fiskunum', 'fiskurinn', 'fiskum', 'fiskarnir']"
fish,gle,"['iasc', 'éisc', 'héisc', ""d'iasc"", 'mioniasc', 't‑iasc', 'cabhail', 'gearrtha', 'gathanna', 'n‑iasc', 'barr', 'niasc', 'hollphéiste', 'ghabh', 'mhóra']"
fish,xho,"['iintlanzi', 'neentlanzi', 'intlanzi', 'yeentlanzi', 'leentlanzi', 'kwiintlanzi', 'njengeentlanzi', 'neentlanzana', 'kwakusele', 'nangeentlanzi', 'kubaloba', 'kwaneentlanzi', 'wentlanzi', 'sentlanzi', 'lweentlanzi', 'kweentlanzi', 'eyosiweyo', 'weentlanzi', 'ezinkulu', 'nentlanzi', 'neyeentlanzi']"
fish,ita,"['pesci', 'pesce', 'pesciolini', 'fiocine', 'pescheranno']"
