concept,language,translations
fish,eng,['fish']
fish,spa,"['pescado', 'pez']"
fish,deu,['fisch']
fish,zho,['鱼']
fish,fra,['poisson']
fish,nld,['vis']
fish,pol,['ryba']
fish,tur,"['balik', 'balık']"
fish,afr,['vis']
fish,cat,['peix']
fish,dan,['fisk']
fish,fin,['kala']
fish,ell,['ψάρι']
fish,hun,['hal']
fish,isl,['fiskur']
fish,gle,['iasc']
fish,xho,['intlanzi']
fish,ita,['pesce']
fish,lit,['žuvis']
fish,mlt,['ħuta']
fish,rus,['рыба']
fish,srp,['riba']
fish,slk,['ryba']
fish,swe,['fisk']
fish,ces,['ryba']
fish,gla,['iasg']
fish,msa,['ikan']
fish,fas,['ماهی']
fish,hye,['ձուկ ']
bird,eng,['bird']
bird,spa,['pájaro']
bird,deu,['vogel']
bird,zho,['鸟']
bird,fra,['oiseau']
bird,nld,['vogel']
bird,pol,['ptak']
bird,tur,['kuş']
bird,afr,['voël']
bird,cat,['ocell']
bird,dan,['fugl']
bird,fin,['lintu']
bird,ell,['πουλί']
bird,hun,['madár']
bird,isl,['fugl']
bird,gle,['éan']
bird,xho,['intaka']
bird,ita,['uccello']
bird,lit,['paukštis']
bird,mlt,['għasfur']
bird,rus,['птица']
bird,srp,['ptica']
bird,slk,['vták']
bird,swe,['fågel']
bird,ces,['pták']
bird,gla,['eun']
bird,msa,['burung']
bird,fas,['پرنده']
bird,hye,['թռչուն ']
bird,est,['lind']
bird,cym,['aderyn']
dog,eng,['dog']
dog,spa,['perro']
dog,deu,['hund']
dog,zho,"['狗', '犬']"
dog,fra,['chien']
dog,nld,['hond']
dog,pol,['pies']
dog,tur,['köpek']
dog,afr,['hond']
dog,cat,['gos']
dog,dan,['hund']
dog,fin,['koira']
dog,ell,['σκύλος']
dog,hun,['kutya']
dog,isl,['hundur']
dog,gle,['madra']
dog,xho,['inja']
dog,ita,['cane']
dog,lit,['šuo']
dog,mlt,['kelb']
dog,rus,['собака']
dog,srp,['pas']
dog,slk,['pes']
dog,swe,['hund']
dog,ces,['pes']
dog,gla,['cù']
dog,msa,['anjing']
dog,fas,['سگ']
dog,hye,['շուն']
dog,est,['koer']
dog,cym,['ci']
tree,eng,['tree']
tree,spa,['árbol']
tree,deu,['baum']
tree,zho,"['树', '木']"
tree,fra,['arbre']
tree,nld,['boom']
tree,pol,['drzewo']
tree,tur,['ağaç']
tree,cat,['arbre']
tree,dan,['træ']
tree,fin,['puu']
tree,hun,['fa']
tree,isl,['tré']
tree,gle,['crann']
tree,xho,['umthi']
tree,ita,['albero']
tree,lit,['medis']
tree,mlt,['siġra']
tree,rus,['дерево']
tree,srp,['drvo']
tree,slk,['strom']
tree,swe,['träd']
tree,ces,['strom']
tree,gla,['craobh']
tree,msa,['pokok']
tree,fas,['درخت']
tree,hye,['ծառ ']
tree,est,['puu (puur)']
tree,cym,['coeden']
seed,eng,['seed']
seed,spa,['semilla']
seed,deu,"['samen', 'saat']"
seed,zho,['种子']
seed,fra,"['semence', 'graine (grain)']"
seed,pol,['nasienie']
seed,rus,['семя']
seed,fin,['siemen']
seed,est,['seeme']
seed,ita,['seme']
seed,cym,['hedyn']
leaf,spa,['hoja']
leaf,eng,['leaf']
leaf,deu,['blatt']
leaf,zho,['叶']
leaf,nld,['blad']
leaf,fra,['feuille']
leaf,pol,['liść']
leaf,afr,['blaar']
leaf,cat,['fulla']
leaf,dan,['blad']
leaf,fin,['lehti']
leaf,ell,['φύλλο']
leaf,hun,['levél']
leaf,isl,['laufblað']
leaf,gle,['duilleog']
leaf,xho,['igqabi']
leaf,ita,['foglia']
leaf,lit,['lapas']
leaf,mlt,['werqa']
leaf,rus,['лист']
leaf,srp,['list']
leaf,slk,['list']
leaf,swe,['löv']
leaf,tur,['yaprak']
leaf,ces,['list']
leaf,gla,['duilleag']
leaf,msa,['daun']
leaf,fas,['برگ']
leaf,hye,['տերեւ ']
leaf,est,['leht']
leaf,cym,['deilen']
root,eng,"['root', 'tuber']"
root,spa,['raíz']
root,deu,['wurzel']
root,zho,"['根', '本']"
root,fra,['racine']
root,pol,['korzeń']
root,rus,['корень']
root,fin,['juuri']
root,est,['juur']
root,ita,['radice']
root,cym,['gwraidd']
flesh,eng,['flesh']
flesh,fra,['chair']
flesh,pol,['mięso']
flesh,zho,['肉']
flesh,cym,['cnawd']
flesh,est,['liha']
flesh,fin,['liha']
flesh,rus,['плоть']
flesh,spa,['carne']
blood,eng,['blood']
blood,spa,['sangre']
blood,deu,['blut']
blood,zho,['血']
blood,fra,['sang']
blood,nld,['bloed']
blood,pol,['krew']
blood,tur,['kan']
blood,rus,['кровь']
blood,fin,['veri']
blood,est,['veri']
blood,ita,['sangue']
blood,cym,['gwaed']
horn,eng,['horn']
horn,zho,"['喇叭', '角']"
horn,fra,['cor']
horn,pol,['róg']
horn,cym,['corn']
horn,est,['ruupor']
horn,fin,['sarvi']
horn,rus,"['рожок', 'рог']"
horn,spa,"['cuerno', 'avispón']"
horn,deu,['horn']
horn,ita,['corno']
hair,eng,['hair']
hair,deu,['haar']
hair,nld,['haar']
hair,fra,['cheveux']
hair,pol,['włosy']
hair,spa,"['cabello', 'pelo']"
hair,ita,['capello']
ear,eng,['ear']
ear,spa,"['oreja', 'oído']"
ear,deu,['ohr']
ear,zho,['耳']
ear,nld,['oor']
ear,fra,['oreille']
ear,pol,['ucho']
ear,tur,['kulak']
ear,afr,['oor']
ear,cat,['orella']
ear,dan,['øre']
ear,fin,['korva']
ear,ell,['αυτί']
ear,hun,['fül']
ear,isl,['eyra']
ear,gle,['cluas']
ear,xho,['indlebe']
ear,ita,['orecchio']
ear,lit,['ausis']
ear,mlt,['widna']
ear,rus,['ухо']
ear,srp,['uvo']
ear,slk,['ucho']
ear,swe,['öra']
ear,ces,['ucho']
ear,gla,['cluas']
ear,msa,['telinga']
ear,fas,['گوش']
ear,hye,['ականջ']
mouth,eng,['mouth']
mouth,spa,['boca']
mouth,deu,['mund']
mouth,zho,"['嘴', '口']"
mouth,fra,['bouche']
mouth,nld,['mond']
mouth,pol,['usta']
mouth,tur,['ağiz']
mouth,rus,['рот']
mouth,fin,['suu']
mouth,est,['suu']
mouth,ita,['bocca']
mouth,cym,['ceg']
tooth,eng,"['tooth', 'teeth']"
tooth,spa,['diente']
tooth,deu,['zahn']
tooth,zho,['牙']
tooth,fra,['dent']
tooth,pol,"['ząb', 'zęby']"
tooth,rus,['зуб']
tooth,fin,"['hampaat', 'hammas']"
tooth,est,"['hambad', 'hammas']"
tooth,ita,"['dente', 'denti']"
tooth,cym,"['dannedd', 'dant']"
tongue,eng,['tongue']
tongue,spa,['lengua']
tongue,deu,['zunge']
tongue,zho,['舌头']
tongue,fra,['langue']
tongue,rus,['язык']
tongue,fin,['kieli']
tongue,est,['keel']
tongue,pol,['język (język )']
tongue,ita,['lingua']
tongue,cym,['tafod']
foot,spa,['pie']
foot,eng,"['foot', 'feet']"
foot,deu,['fuß']
foot,zho,['脚']
foot,fra,['pied']
foot,nld,['voet']
foot,pol,['stopa']
foot,tur,['ayak']
foot,rus,"['стопа', 'нога', 'ступня']"
foot,fin,['jalkaterä']
foot,est,['jalg']
foot,ita,['piede']
foot,cym,['troed']
knee,eng,['knee']
knee,spa,['rodilla']
knee,deu,['knie']
knee,zho,['膝盖']
knee,fra,['genou']
knee,pol,['kolano']
knee,ita,['ginocchio']
knee,rus,['колено']
knee,cym,['pen-glin']
knee,est,['põlv']
knee,fin,['polvi']
belly,eng,"['stomach', 'belly', 'abdomen']"
belly,spa,"['barriga', 'vientre', 'abdomen', 'tripa']"
belly,deu,['bauch']
belly,zho,"['肚子', '腹', '肚皮']"
belly,fra,['ventre']
belly,nld,['buik']
belly,pol,['brzuch']
belly,rus,"['живот', 'брюшко']"
belly,fin,['maha']
belly,est,['kõht']
belly,ita,"['pancia', 'stomaco']"
belly,cym,['bol']
neck,eng,['neck']
neck,spa,['cuello']
neck,deu,['hals']
