file_name,language_code,language_name,script_code,script_name
aai-x-bible.txt,aai,Arifama-Miniafia,Latn,Latin
aak-x-bible.txt,aak,Ankave,Latn,Latin
aau-x-bible.txt,aau,Abau,Latn,Latin
aaz-x-bible.txt,aaz,Amarasi,Latn,Latin
abt-x-bible-maprik.txt,abt,Ambulas,Latn,Latin
abt-x-bible-wosera.txt,abt,Ambulas,Latn,Latin
abx-x-bible.txt,abx,Inabaknon,Latn,Latin
aby-x-bible.txt,aby,Aneme Wake,Latn,Latin
aca-x-bible.txt,aca,Achagua,Latn,Latin
acd-x-bible.txt,acd,Gikyode,Latn,Latin
ace-x-bible.txt,ace,Achinese,Latn,Latin
acf-x-bible.txt,acf,Saint Lucian Creole French,Latn,Latin
ach-x-bible.txt,ach,Acoli,Latn,Latin
acn-x-bible.txt,acn,Achang,Latn,Latin
acr-x-bible-cubulcu.txt,acr,Achi,Latn,Latin
acr-x-bible-reformed.txt,acr,Achi,Latn,Latin
acr-x-bible-traditional.txt,acr,Achi,Latn,Latin
acu-x-bible.txt,acu,Achuar-Shiwiar,Latn,Latin
ade-x-bible.txt,ade,Adele,Latn,Latin
adh-x-bible.txt,adh,Adhola,Latn,Latin
adi-x-bible.txt,adi,Adi,Latn,Latin
adj-x-bible.txt,adj,Adioukrou,Latn,Latin
adl-x-bible.txt,adl,Galo,Latn,Latin
ady-x-bible.txt,ady,Adygei,Cyrl,Cyrillic
adz-x-bible.txt,adz,Adzera,Latn,Latin
aeb-x-bible.txt,aeb,Tunisian Arabic,Arab,Arabic
aeu-x-bible.txt,aeu,Akeu,Latn,Latin
aey-x-bible.txt,aey,Amele,Latn,Latin
afr-x-bible-1953.txt,afr,Afrikaans,Latn,Latin
afr-x-bible-1983.txt,afr,Afrikaans,Latn,Latin
afr-x-bible-boodskap.txt,afr,Afrikaans,Latn,Latin
afr-x-bible-lewende.txt,afr,Afrikaans,Latn,Latin
afr-x-bible-newworld.txt,afr,Afrikaans,Latn,Latin
afr-x-bible-viralmal.txt,afr,Afrikaans,Latn,Latin
agd-x-bible.txt,agd,Agarabi,Latn,Latin
agg-x-bible.txt,agg,Angor,Latn,Latin
agm-x-bible.txt,agm,Angaataha,Latn,Latin
agn-x-bible.txt,agn,Agutaynen,Latn,Latin
agr-x-bible.txt,agr,Aguaruna,Latn,Latin
agt-x-bible.txt,agt,Central Cagayan Agta,Latn,Latin
agu-x-bible.txt,agu,Aguacateco,Latn,Latin
agw-x-bible.txt,agw,Kahua,Latn,Latin
agx-x-bible.txt,agx,Aghul,Cyrl,Cyrillic
ahk-x-bible.txt,ahk,Akha,Latn,Latin
aia-x-bible.txt,aia,Arosi,Latn,Latin
aii-x-bible.txt,aii,Assyrian Neo-Aramaic,Syrc,Syriac
aim-x-bible.txt,aim,Aimol,Latn,Latin
aji-x-bible.txt,aji,Ajië,Latn,Latin
ajz-x-bible.txt,ajz,Amri Karbi,Latn,Latin
akb-x-bible.txt,akb,Batak Angkola,Latn,Latin
ake-x-bible.txt,ake,Akawaio,Latn,Latin
akh-x-bible.txt,akh,Angal Heneng,Latn,Latin
ald-x-bible.txt,ald,Alladian,Latn,Latin
alj-x-bible.txt,alj,Alangan,Latn,Latin
aln-x-bible-newworld.txt,aln,Gheg Albanian,Latn,Latin
aln-x-bible.txt,aln,Gheg Albanian,Latn,Latin
alp-x-bible.txt,alp,Alune,Latn,Latin
alq-x-bible.txt,alq,Algonquin,Latn,Latin
alt-x-bible-southern.txt,alt,Southern Altai,Cyrl,Cyrillic
alt-x-bible.txt,alt,Southern Altai,Cyrl,Cyrillic
aly-x-bible.txt,aly,Alyawarr,Latn,Latin
alz-x-bible.txt,alz,Alur,Latn,Latin
ame-x-bible.txt,ame,Yanesha',Latn,Latin
amf-x-bible.txt,amf,Hamer-Banna,Latn,Latin
amh-x-bible-latin.txt,amh,Amharic,Latn,Latin
amh-x-bible-newworld.txt,amh,Amharic,Ethi,Ethiopic (GeÊ»ez)
amh-x-bible.txt,amh,Amharic,Ethi,Ethiopic (GeÊ»ez)
amk-x-bible.txt,amk,Ambai,Latn,Latin
amm-x-bible.txt,amm,Ama (Papua New Guinea),Latn,Latin
amn-x-bible-naineri.txt,amn,Amanab,Latn,Latin
amn-x-bible.txt,amn,Amanab,Latn,Latin
amp-x-bible.txt,amp,Alamblak,Latn,Latin
amr-x-bible.txt,amr,Amarakaeri,Latn,Latin
amu-x-bible.txt,amu,Guerrero Amuzgo,Latn,Latin
amx-x-bible.txt,amx,Anmatyerre,Latn,Latin
ann-x-bible.txt,ann,Obolo,Latn,Latin
anv-x-bible.txt,anv,Denya,Latn,Latin
aoi-x-bible.txt,aoi,Anindilyakwa,Latn,Latin
aoj-x-bible-filifita.txt,aoj,Mufian,Latn,Latin
aoj-x-bible-mufian.txt,aoj,Mufian,Latn,Latin
aom-x-bible.txt,aom,Ömie,Latn,Latin
aon-x-bible.txt,aon,Bumbita Arapesh,Latn,Latin
aoz-x-bible.txt,aoz,Uab Meto,Latn,Latin
apb-x-bible.txt,apb,Sa'a,Latn,Latin
ape-x-bible.txt,ape,Bukiyip,Latn,Latin
apn-x-bible.txt,apn,Apinayé,Latn,Latin
apr-x-bible.txt,apr,Arop-Lokep,Latn,Latin
apt-x-bible.txt,apt,Apatani,Latn,Latin
apu-x-bible.txt,apu,Apurinã,Latn,Latin
apw-x-bible.txt,apw,Western Apache,Latn,Latin
apy-x-bible.txt,apy,Apalaí,Latn,Latin
apz-x-bible.txt,apz,Safeyoka,Latn,Latin
arb-x-bible-newworld.txt,arb,Standard Arabic,Arab,Arabic
arb-x-bible.txt,arb,Standard Arabic,Arab,Arabic
are-x-bible.txt,are,Western Arrarnta,Latn,Latin
arl-x-bible.txt,arl,Arabela,Latn,Latin
arn-x-bible.txt,arn,Mapuche,Latn,Latin
arp-x-bible.txt,arp,Arapaho,Latn,Latin
ary-x-bible.txt,ary,Moroccan Arabic,Arab,Arabic
arz-x-bible.txt,arz,Egyptian Arabic,Arab,Arabic
asg-x-bible.txt,asg,Cishingini,Latn,Latin
aso-x-bible.txt,aso,Dano,Latn,Latin
ata-x-bible.txt,ata,Pele-Ata,Latn,Latin
atb-x-bible.txt,atb,Zaiwa,Latn,Latin
atd-x-bible.txt,atd,Ata Manobo,Latn,Latin
atg-x-bible.txt,atg,Ivbie North-Okpela-Arhe,Latn,Latin
att-x-bible.txt,att,Pamplona Atta,Latn,Latin
auc-x-bible.txt,auc,Waorani,Latn,Latin
aui-x-bible.txt,aui,Anuki,Latn,Latin
auy-x-bible.txt,auy,Awiyaana,Latn,Latin
ava-x-bible.txt,ava,Avaric,Cyrl,Cyrillic
avt-x-bible.txt,avt,Au,Latn,Latin
avu-x-bible.txt,avu,Avokaya,Latn,Latin
awa-x-bible.txt,awa,Awadhi,Deva,Devanagari (Nagari)
awb-x-bible.txt,awb,Awa (Papua New Guinea),Latn,Latin
awi-x-bible.txt,awi,Aekyom,Latn,Latin
awx-x-bible.txt,awx,Awara,Latn,Latin
ayo-x-bible.txt,ayo,Ayoreo,Latn,Latin
ayr-x-bible-1997.txt,ayr,Central Aymara,Latn,Latin
ayr-x-bible-2011.txt,ayr,Central Aymara,Latn,Latin
aze-x-bible-latin.txt,aze,Azerbaijani,Latn,Latin
aze-x-bible-newworld.txt,aze,Azerbaijani,Cyrl,Cyrillic
aze-x-bible.txt,aze,Azerbaijani,Latn,Latin
azg-x-bible.txt,azg,San Pedro Amuzgos Amuzgo,Latn,Latin
azz-x-bible.txt,azz,Highland Puebla Nahuatl,Latn,Latin
bak-x-bible.txt,bak,Bashkir,Cyrl,Cyrillic
bam-x-bible.txt,bam,Bambara,Latn,Latin
ban-x-bible.txt,ban,Balinese,Latn,Latin
bao-x-bible.txt,bao,Waimaha,Latn,Latin
bar-x-bible.txt,bar,Bavarian,Latn,Latin
bav-x-bible.txt,bav,Vengo,Latn,Latin
bba-x-bible.txt,bba,Baatonum,Latn,Latin
bbb-x-bible.txt,bbb,Barai,Latn,Latin
bbc-x-bible.txt,bbc,Batak Toba,Latn,Latin
bbj-x-bible.txt,bbj,Ghomálá',Latn,Latin
bbr-x-bible.txt,bbr,Girawa,Latn,Latin
bcc-x-bible-latin.txt,bcc,Southern Balochi,Latn,Latin
bcc-x-bible.txt,bcc,Southern Balochi,Arab,Arabic
bch-x-bible.txt,bch,Bariai,Latn,Latin
bci-x-bible.txt,bci,Baoulé,Latn,Latin
bcl-x-bible.txt,bcl,Central Bikol,Latn,Latin
bco-x-bible.txt,bco,Kaluli,Latn,Latin
bcw-x-bible.txt,bcw,Bana,Latn,Latin
bdd-x-bible.txt,bdd,Bunama,Latn,Latin
bdh-x-bible.txt,bdh,Baka (South Sudan),Latn,Latin
bea-x-bible.txt,bea,Beaver,Latn,Latin
bef-x-bible.txt,bef,Benabena,Latn,Latin
bel-x-bible-bokun.txt,bel,Belarusian,Cyrl,Cyrillic
bel-x-bible-semukha.txt,bel,Belarusian,Cyrl,Cyrillic
bem-x-bible-newworld.txt,bem,Bemba (Zambia),Latn,Latin
ben-x-bible-common.txt,ben,Bengali,Beng,Bengali (Bangla)
ben-x-bible-easy.txt,ben,Bengali,Beng,Bengali (Bangla)
ben-x-bible-holybible.txt,ben,Bengali,Beng,Bengali (Bangla)
ben-x-bible-mussolmani.txt,ben,Bengali,Beng,Bengali (Bangla)
ben-x-bible-old.txt,ben,Bengali,Beng,Bengali (Bangla)
beq-x-bible.txt,beq,Beembe,Latn,Latin
bex-x-bible.txt,bex,Jur Modo,Latn,Latin
bfd-x-bible.txt,bfd,Bafut,Latn,Latin
bfo-x-bible.txt,bfo,Malba Birifor,Latn,Latin
bgr-x-bible.txt,bgr,Bawm Chin,Latn,Latin
bgs-x-bible.txt,bgs,Tagabawa,Latn,Latin
bgz-x-bible.txt,bgz,Banggai,Latn,Latin
bhg-x-bible.txt,bhg,Binandere,Latn,Latin
bhl-x-bible.txt,bhl,Bimin,Latn,Latin
bhp-x-bible.txt,bhp,Bima,Latn,Latin
bib-x-bible.txt,bib,Bisa,Latn,Latin
big-x-bible.txt,big,Biangai,Latn,Latin
bim-x-bible.txt,bim,Bimoba,Latn,Latin
bis-x-bible.txt,bis,Bislama,Latn,Latin
biu-x-bible.txt,biu,Biete,Latn,Latin
biv-x-bible.txt,biv,Southern Birifor,Latn,Latin
bjp-x-bible.txt,bjp,Fanamaket,Latn,Latin
bjr-x-bible.txt,bjr,Binumarien,Latn,Latin
bjv-x-bible.txt,bjv,Bedjond,Latn,Latin
bkd-x-bible.txt,bkd,Binukid,Latn,Latin
bkq-x-bible.txt,bkq,Bakairí,Latn,Latin
bku-x-bible.txt,bku,Buhid,Latn,Latin
bkv-x-bible.txt,bkv,Bekwarra,Latn,Latin
blh-x-bible.txt,blh,Kuwaa,Latn,Latin
blw-x-bible.txt,blw,Balangao,Latn,Latin
blz-x-bible.txt,blz,Balantak,Latn,Latin
bmb-x-bible.txt,bmb,Bembe,Latn,Latin
bmh-x-bible.txt,bmh,Kein,Latn,Latin
bmk-x-bible.txt,bmk,Ghayavi,Latn,Latin
bmq-x-bible.txt,bmq,Bomu,Latn,Latin
bmr-x-bible.txt,bmr,Muinane,Latn,Latin
bmu-x-bible.txt,bmu,Somba-Siawari,Latn,Latin
bnj-x-bible.txt,bnj,Eastern Tawbuid,Latn,Latin
bnp-x-bible.txt,bnp,Bola,Latn,Latin
boa-x-bible.txt,boa,Bora,Latn,Latin
bod-x-bible.txt,bod,Tibetan,Tibt,Tibetan
boj-x-bible.txt,boj,Anjam,Latn,Latin
bom-x-bible.txt,bom,Berom,Latn,Latin
bon-x-bible.txt,bon,Bine,Latn,Latin
box-x-bible.txt,box,Buamu,Latn,Latin
bpr-x-bible.txt,bpr,Koronadal Blaan,Latn,Latin
bps-x-bible.txt,bps,Sarangani Blaan,Latn,Latin
bqc-x-bible.txt,bqc,Boko (Benin),Latn,Latin
bqj-x-bible.txt,bqj,Bandial,Latn,Latin
bqp-x-bible.txt,bqp,Busa,Latn,Latin
bre-x-bible.txt,bre,Breton,Latn,Latin
bru-x-bible.txt,bru,Eastern Bru,Latn,Latin
bsc-x-bible.txt,bsc,Bassari,Latn,Latin
bsn-x-bible.txt,bsn,Barasana-Eduria,Latn,Latin
bsp-x-bible.txt,bsp,Baga Sitemu,Latn,Latin
bss-x-bible.txt,bss,Akoose,Latn,Latin
btd-x-bible.txt,btd,Batak Dairi,Latn,Latin
bth-x-bible.txt,bth,Biatah Bidayuh,Latn,Latin
bto-x-bible.txt,bto,Rinconada Bikol,Latn,Latin
bts-x-bible.txt,bts,Batak Simalungun,Latn,Latin
btt-x-bible.txt,btt,Bete-Bendi,Latn,Latin
btx-x-bible.txt,btx,Batak Karo,Latn,Latin
bud-x-bible.txt,bud,Ntcham,Latn,Latin
bug-x-bible.txt,bug,Buginese,Latn,Latin
buk-x-bible.txt,buk,Bugawac,Latn,Latin
bul-x-bible-1940.txt,bul,Bulgarian,Cyrl,Cyrillic
bul-x-bible-modern.txt,bul,Bulgarian,Cyrl,Cyrillic
bul-x-bible-newworld.txt,bul,Bulgarian,Cyrl,Cyrillic
bul-x-bible-veren.txt,bul,Bulgarian,Cyrl,Cyrillic
bum-x-bible.txt,bum,Bulu (Cameroon),Latn,Latin
bus-x-bible.txt,bus,Bokobaru,Latn,Latin
bvr-x-bible.txt,bvr,Burarra,Latn,Latin
bvz-x-bible.txt,bvz,Bauzi,Latn,Latin
bwd-x-bible.txt,bwd,Bwaidoka,Latn,Latin
bwq-x-bible.txt,bwq,Southern Bobo Madaré,Latn,Latin
